stationcode,name,latitude,longitude,nom_arrondissement_communes,id,record_timestamp,ebike,mechanical,duedate,numbikesavailable,numdocksavailable,capacity,is_renting,is_installed,is_returning
14111,Cassini - Denfert-Rochereau,48.8375258391,2.3360354081,Paris,20947,2024-07-22T04:51:01.555+02:00,1,16,2024-07-22T03:47:53+02:00,17,7,25,OUI,OUI,OUI
11104,Charonne - Robert et Sonia Delaunay,48.855907556,2.3925706744,Paris,4,2024-07-22T04:19:01.377+02:00,9,3,2024-07-22T03:50:40+02:00,12,7,20,OUI,OUI,OUI
11104,Charonne - Robert et Sonia Delaunay,48.855907556,2.3925706744,Paris,1501,2024-07-22T04:22:00.326+02:00,9,3,2024-07-22T03:50:40+02:00,12,7,20,OUI,OUI,OUI
11104,Charonne - Robert et Sonia Delaunay,48.855907556,2.3925706744,Paris,2996,2024-07-22T04:21:00.518+02:00,9,3,2024-07-22T03:50:40+02:00,12,7,20,OUI,OUI,OUI
11104,Charonne - Robert et Sonia Delaunay,48.855907556,2.3925706744,Paris,4492,2024-07-22T04:25:00.791+02:00,9,3,2024-07-22T03:50:40+02:00,12,7,20,OUI,OUI,OUI
11104,Charonne - Robert et Sonia Delaunay,48.855907556,2.3925706744,Paris,5988,2024-07-22T04:27:00.312+02:00,9,3,2024-07-22T03:50:40+02:00,12,7,20,OUI,OUI,OUI
11104,Charonne - Robert et Sonia Delaunay,48.855907556,2.3925706744,Paris,7484,2024-07-22T04:29:00.488+02:00,9,3,2024-07-22T03:50:40+02:00,12,7,20,OUI,OUI,OUI
11104,Charonne - Robert et Sonia Delaunay,48.855907556,2.3925706744,Paris,8981,2024-07-22T04:31:00.625+02:00,9,3,2024-07-22T03:50:40+02:00,12,7,20,OUI,OUI,OUI
11104,Charonne - Robert et Sonia Delaunay,48.855907556,2.3925706744,Paris,10476,2024-07-22T04:35:00.522+02:00,9,3,2024-07-22T03:50:40+02:00,12,7,20,OUI,OUI,OUI
11104,Charonne - Robert et Sonia Delaunay,48.855907556,2.3925706744,Paris,11972,2024-07-22T04:37:01.327+02:00,9,3,2024-07-22T03:50:40+02:00,12,7,20,OUI,OUI,OUI
